#mines 99
#first_bloc 12,27
1,1,0,2,10,10,10,3,1,2,10,2,10,1,0,0,0,1,3,10,10,2,3,10,10,1,1,1,1,0,0
10,2,1,4,10,6,10,3,10,2,1,3,2,2,1,1,1,1,10,10,5,10,3,10,3,1,1,10,1,0,0
2,3,10,3,10,4,2,3,1,1,0,1,10,1,1,10,2,2,3,3,10,2,2,1,1,0,2,2,2,0,0
2,10,3,2,1,3,10,3,1,0,1,2,3,3,3,2,2,10,1,2,2,2,0,0,0,0,1,10,1,0,0
2,10,2,0,0,2,10,10,2,1,2,10,2,10,10,1,1,1,1,1,10,2,1,0,0,0,1,1,1,0,0
2,3,2,2,1,2,2,2,2,10,3,2,3,2,2,1,0,0,0,1,2,10,2,2,1,1,0,0,0,0,0
10,2,10,3,10,3,1,1,1,2,3,10,2,1,0,0,0,1,1,1,1,2,10,2,10,1,0,0,0,0,0
2,3,1,4,10,5,10,2,1,2,10,4,10,2,0,0,0,1,10,3,2,2,1,3,3,3,1,0,1,1,1
10,3,1,3,10,6,10,2,1,10,3,4,10,2,0,0,0,1,2,10,10,2,1,2,10,10,1,1,2,10,1
10,10,2,3,10,10,2,1,1,1,3,10,4,2,0,0,1,1,2,3,10,2,1,10,3,2,2,2,10,2,1
2,3,10,2,2,2,1,1,1,1,2,10,10,1,0,0,1,10,1,1,1,1,2,2,2,0,1,10,2,1,0
0,2,2,2,1,1,1,2,10,3,2,3,3,2,1,1,2,2,1,1,1,1,1,10,1,0,1,1,1,0,0
0,2,10,3,2,10,1,2,10,4,10,3,3,10,2,2,10,1,0,1,10,2,2,1,2,1,1,0,0,0,0
0,2,10,3,10,3,2,1,2,10,4,10,10,2,2,10,2,1,0,1,2,10,1,0,1,10,2,1,1,0,0
0,1,1,2,2,10,1,0,1,2,10,3,2,1,2,3,4,2,1,0,1,1,2,1,3,3,5,10,3,2,2
0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,10,10,10,1,0,0,0,1,10,2,10,10,10,3,10,10
